elapsed_time,x,y,z,roll,pitch,yaw,x_speed,y_speed,z_speed,roll_speed,pitch_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,-0.5621918094712002,-0.5185340635258726,0.9979197965730789,-0.0021906926710409226,0.009908592428879245,0.00016688409053259966,-0.03683886523916313,0.033769396608653635,-0.0030153059691271486,-0.0023992603801808294,0.01673987062934601,-0.004197539463208444,0,40,0,0
0.04,-0.5638853718536733,-0.5170037194202313,0.9980704448766394,-0.004480597197231523,0.0037910398150762525,-0.008028833827730257,-0.026823609855133945,0.01952325119286572,-0.01230352928156345,0.05714724551377714,0.10434603963710694,0.1851724579587561,0,40,0,0
0.08,-0.5651189886668216,-0.5159682988843391,0.9977609086683003,-0.010767613756904198,0.00830964538335828,0.0004908354020629474,-0.046516268221035086,0.04751628419932931,0.008950174136396167,-0.09903032754683479,-0.14892462533928524,-0.1885542595366098,0,40,0,0
0.12,-0.5669154913769503,-0.5140319806616818,0.9980923326762027,-0.03154779850210003,0.004793965779517406,-0.008293125071177113,-0.03528039037665168,0.03335016145026156,-0.004301731475159633,-0.35110829087021145,-0.010281618401045793,-0.029961977091606615,0,40,0,0
0.16,-0.5680929243801229,-0.5123731207185532,0.9978315252369395,-0.050581239016501287,0.009240683366505603,-0.0034360567834331008,-0.02586896806735426,0.028203279508658252,-0.007170295179637663,-0.5189834913485246,0.1441825519368944,0.16048731766411126,0,40,0,0
0.20,-0.5698729722510288,-0.5092908005915368,0.9981966408858102,-0.07051531772862667,0.004485299164840986,-0.011840154257215635,-0.04922971888601481,0.07165366710340935,0.010601548752057488,-0.41777076998277357,-0.20780181271930914,-0.25354206682117925,0,40,0,0
0.24,-0.570852320294041,-0.5061682767780428,0.997878788183176,-0.08189144871286862,0.007013274781642237,-0.005883200943942795,-0.026018058102661726,0.06688833196461003,-0.0044806622827801715,-0.43128386808468394,0.13008443640728934,0.14099668135039972,0,40,0,0
0.28,-0.5722268929846008,-0.5013574866858986,0.9979183643996463,-0.09256470544243837,0.006426103811870379,-0.006546022827682616,-0.04464026576077115,0.11974330175774364,0.009986652100448837,-0.3446698179941431,-0.13816124731709029,-0.19990349007139832,0,40,0,0
0.32,-0.573968843915904,-0.49456466401578913,0.9983166721387354,-0.10077974684073547,0.0012494270929042928,-0.01428010209822228,-0.030806838982337388,0.13234929992966182,-0.004613286614228383,-0.26987666556463485,0.017122214186557978,-0.04380595146199474,0,40,0,0
0.36,-0.5752494851964418,-0.4869558806018656,0.9983092248929972,-0.10464900345245569,0.000888342018881591,-0.014487165692122937,-0.025321535429282494,0.16682764833172398,-0.004927744257130551,-0.06961730235353925,0.10454750986449896,0.19483623240838782,0,40,0,0
0.40,-0.5760816336682101,-0.4782571417517292,0.9980238613977291,-0.10569843696973873,0.005889445425781556,-0.00723023431030012,-0.04017832661284459,0.2194111416576639,0.008990096230756311,-0.10421108706472092,-0.10646548299444107,-0.15657744818908584,0,40,0,0
0.44,-0.5772393045557256,-0.4674930607006372,0.998146981063549,-0.10721312548198263,0.006882670808482344,-0.006481209830673194,-0.030488430165214495,0.24672540325821093,0.0007872406033556897,-0.06498265648829409,0.012817206947948587,0.00503381856408039,0,40,0,0
