elapsed_time,x,y,z,roll,pitch,yaw,x_speed,y_speed,z_speed,roll_speed,pitch_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,1.0554742357096134,1.0354643949060818,1.0515325674008544,0.004808426903988044,0.0012657966988706831,0.015098470851118852,0.061262540327286674,-0.022166293234359195,-0.009712012482653453,0.01631601784197945,-0.0005175108523881719,-0.012275242809114474,0,0,0,100
0.04,1.0579238653560314,1.0345996398817794,1.0512353057850072,0.004873733886671078,0.0009031616250799457,0.014932497372635344,0.0642096164393987,-0.02418113376092393,-0.007614676905184321,-0.04149310371299704,0.0198984587723468,0.014570690635791035,0,0,0,100
0.08,1.0603765197993653,1.03368573435375,1.0509036638893359,0.0041946058358799,0.0004814824848123206,0.014548073581650592,0.07021304612839151,-0.03142455209952064,-0.014777159598770356,-0.038656545286473214,0.12055813312657447,0.11998652515770322,0,0,0,100
0.12,1.0628612996540103,1.032753194393531,1.0504999742128707,0.005281642466561115,-9.3296457342254e-05,0.0148891801327801,0.05395684027796391,-0.014440437677554659,-0.00032240981462094054,0.011193434331262903,-0.1725871551570022,-0.14701509036184335,0,0,0,100
0.16,1.065844319473369,1.0313773103054302,1.0499452021150204,0.0027603497523702334,0.006477095479863609,0.023006509741027147,0.06120844701718505,-0.022844071048522402,-0.008075841600303122,-0.0035359331285014827,0.010394867110557643,0.02847294858512216,0,0,0,100
0.20,1.0678079059486196,1.0308917342629722,1.0500820555890187,0.004002847062518816,-0.0009127861640412377,0.022268202859259338,0.0579751559168659,-0.0210649506226609,-0.008794902429464672,0.035587587354331304,-0.02820168805944459,0.07514365914632096,0,0,0,100
0.24,1.0703644156396332,1.0298314771481574,1.049734627803875,0.0021648519072099024,0.0008383491517227754,0.03263024900124628,0.06336342497086861,-0.02496873349347392,-0.003242922568218752,-0.0608848341975985,0.03723302985377754,0.19042663227379836,0,0,0,100
0.28,1.0727829493808423,1.0288785379321506,1.0495138184293262,0.002066493343518788,-0.0002826746382585815,0.047133192960054686,0.06132472272868459,-0.02422416594610096,-0.0061637114398832545,-0.017090422261597002,-0.03004652528720652,0.29060686443662526,0,0,0,100
0.32,1.0752923077966672,1.0278078485061442,1.049323536508742,-3.9705938895279354e-05,6.860217871311469e-05,0.06795088001670616,0.061215774016783325,-0.025658167035250718,-0.005966455298075863,-0.007488987080032591,-0.01958001514038183,0.4453847325702186,0,0,0,100
0.36,1.0777292258410265,1.026815966783343,1.0490425763536377,0.002201759581291279,-0.001748289646671508,0.09331448348472957,0.062415168949011626,-0.027001936405446,-0.005003561312542588,-0.03192166098308425,-0.0052221978480570695,0.5903996408267159,0,0,0,100
0.40,1.0808615363980334,1.0251144529807994,1.0485406203935652,-0.0026954836594883904,0.006360118573495915,0.13070911438323468,0.07563990815352507,-0.040865187123261454,-0.015174640437925511,-0.06482568810437374,0.17348072764317987,0.8705259357145132,0,0,0,100
0.44,1.0834307470046831,1.0240289423481774,1.0483158616895054,-0.002891678371804746,0.006201681026944822,0.16379809087294914,0.06480692581466156,-0.02563308758160348,-0.00396169351931888,-0.0051140414863768465,-0.004870503388544553,0.7898481587559353,0,0,0,100
0.48,1.085993192625738,1.0229949491593335,1.04817375185089,-0.0029226120118533263,0.005873110866804546,0.19970764202971658,0.0642756815801403,-0.026908895249879577,-0.004260445262367953,-0.005792804093568189,-0.005040751950011263,0.8728706846439858,0,0,0,100
0.52,1.0885760965497735,1.0219679965038633,1.0479876136354844,-0.0028637533517350934,0.006285826012366713,0.23751812093503377,0.06438001883862893,-0.02587461680923835,-0.004717740900462903,0.00707714205869332,-0.006842166562113138,0.9192332917729346,0,0,0,100
0.56,1.0912742653225902,1.020870999502536,1.047793514822055,-0.0024758832990714854,0.006578384102635462,0.27701067607011987,0.0653359010087886,-0.02691649477518895,-0.004601445804400192,-0.02314055476287122,0.03578970669873447,0.9559938012246644,0,0,0,100
0.60,1.0940635496242503,1.0196640053248411,1.04759347619958,-0.0023912035385958265,0.005899714835629788,0.318106641446355,0.0680849814140868,-0.028791252888383898,-0.004118586706718533,0.03328302769933414,-0.030967337854433584,1.0144477861452927,0,0,0,100
0.64,1.0966307468016514,1.0187244329968315,1.0475033909127547,-0.0035065174271651624,0.005715159833698399,0.3579602809465837,0.06748303785882441,-0.025603690957966975,-0.003547432104231234,-0.004964580310038214,-0.02416703010155136,1.0362967173753963,0,0,0,100
0.68,1.0993384254967162,1.0176804477130368,1.0473823821083912,-0.003955083972396784,0.004769322044680752,0.3992316780162315,0.06610892134049932,-0.025478114316718033,-0.0033327528813868776,-0.032793912754299735,0.0076627419279698536,0.9962393662374945,0,0,0,100
0.72,1.1023788460644437,1.016447450980531,1.0472021405965382,-0.005531954439266945,0.004905070785866605,0.44303149020524063,0.0694702429592459,-0.028126669204867814,-0.004034268244878662,0.008590678736358513,-0.034175130176759834,1.0423199851853422,0,0,0,100
0.76,1.105248903197781,1.0153454729660474,1.0471092856243227,-0.007082664464477512,0.003873779171185976,0.4852916347848941,0.0761021424764177,-0.029880569854323098,-0.0039078938637715855,-0.07189224042771458,0.004877595003774006,1.0921033295197489,0,0,0,100
0.80,1.107892808093561,1.014614698798412,1.0471806722920993,-0.008789894967517847,0.002183841964097641,0.5255978021825877,0.07284090687923037,-0.02347990694441342,-0.004877201245787113,-0.008497733746897555,0.01270458575769486,1.0879714460460448,0,0,0,100
0.84,1.1132445088334075,1.0121987526752478,1.0461058770135192,-0.020439482602124397,0.01769910647229931,0.5942288250246162,0.07107902757499418,-0.02604428425110007,0.0012413806248593802,-0.09476117136827937,-0.03336286370274472,1.0147119034490484,0,0,0,100
0.88,1.1147574243012583,1.0124035457624272,1.0469082283616566,-0.014005523752485687,0.0024724017769414963,0.623394340396138,0.1094943731724609,-0.04682480293115799,-0.021794837654114156,-0.2799752127171209,0.37233718739821386,1.4144820656507768,0,0,0,100
0.92,1.1177039868364864,1.011681297384492,1.0468191212126718,-0.01567505092378089,0.0022865018766500406,0.6664172641220456,0.03911881348056718,0.003919571572681302,0.018715969869064562,0.17477598118608617,-0.3930690073828114,0.7269849163624886,0,0,0,100
0.96,1.121833849691739,1.010271203001222,1.0459590465575526,-0.023967259166975546,0.013852139587830568,0.7204254827582302,0.11563005072581319,-0.03380561232465242,-0.01887521020629722,-0.346815943338102,0.43364766086113665,1.4823906809666252,0,0,0,100
1.00,1.1246973666482551,1.0098768879970748,1.045890515326658,-0.023831767400217346,0.012334212464144394,0.7628440218021315,0.06922805609198884,-0.013860940079374169,-0.004938181878606832,0.06416233817106416,-0.07903378300581763,1.0335089690481705,0,0,0,0
1.04,1.1277856783053994,1.0096890988554188,1.0457464580278104,-0.027222348909909305,0.015222624039923617,0.8086848486901344,0.061849963421550386,-0.01288004244316435,-0.0023729085662027726,0.021242941088205396,-0.09384450898662156,0.9530700418548553,0,0,0,0
1.08,1.1305398018418058,1.009468495245798,1.0457359975939828,-0.027446061745610966,0.012569244525504543,0.851259874398721,0.06943467856483805,-0.006844163111157356,-5.868548248998131e-05,-0.008164281029366201,-0.05313124064368947,1.0753765821783086,0,0,0,0
1.12,1.1329549266967938,1.0092797789196197,1.0457407191184638,-0.026039845790024867,0.008945009419039737,0.8898835550371299,0.06806734965803223,-0.004942248171669785,-0.00327899740770495,0.020727392447330073,-0.029523189683211187,1.0651616378854736,0,0,0,0
1.16,1.135578746537658,1.0093689756499133,1.0457734192320076,-0.025439324278677494,0.007603535422775198,0.9296913451782414,0.07758775067280356,0.0014750732491282622,-0.0005619703915066126,-0.0858932910753621,0.07418675534472033,1.1785326375578782,0,0,0,0
1.20,1.1383692719088716,1.0096959001264625,1.0457080755496961,-0.024530461477608328,0.009721076962419348,0.9690121907608956,0.057075437608545436,-7.955502557397548e-05,0.0037076764093756038,0.0771319923286832,-0.13575409494415608,0.8635728322403334,0,0,0,0
1.24,1.1405052545193604,1.0097569798481456,1.0456171137417587,-0.01906541931553089,0.004451780357231039,0.996039108870121,0.0638476761359841,0.006424326403774914,0.0001516117427975952,0.0025853579183102112,-0.006523390573466726,0.8697802744431671,0,0,0,0
1.28,1.1432279912780445,1.0103824661398682,1.0458052110608687,-0.02145829530380298,0.007699107121368981,1.0265386026073244,0.08326903373380301,0.007389215813911904,-0.005575034155310898,-0.10972199513221197,0.1910940993311566,0.975699575441393,0,0,0,0
1.32,1.1461394794450144,1.0107170558021783,1.0458576785982343,-0.028070333626851334,0.012061884255385659,1.0518879215910608,0.058678758751564794,0.010671286308321357,0.005381548362178259,0.033923880442983376,-0.0773780520548417,0.5978136294972849,0,0,0,0
1.36,1.1482908195142452,1.0112671603515182,1.0459995238922088,-0.02776115944094241,0.010796225476893476,1.0678553648646958,0.05463456203002905,0.011741423135648214,0.0005021656667217534,-0.025417122455371446,0.03806259605793697,0.4714139259781443,0,0,0,0
1.40,1.1504055264237407,1.0119686268845705,1.0463259646622058,-0.026513420889534605,0.008963835290938915,1.0812534884979306,0.05652048180538975,0.015099807667698415,0.0033911093765476024,0.043296743237475545,-0.01607597399960277,0.41363567855318933,0,0,0,0
1.44,1.1524632258416951,1.0127247732063454,1.0465707171968648,-0.02700187453086959,0.009004684469464314,1.089901753726347,0.06366748030902597,0.01972128123305712,0.011071697887116665,-0.09114367288178926,-0.010711888632465947,0.35188849407619255,0,0,0,0
1.48,1.1538205769916194,1.0134151930675814,1.0468878697352493,-0.021383242985919797,0.0029404034361104336,1.091090702065025,0.04976883430527515,0.01710654816855316,0.00500081054645855,-0.03854844947281106,0.02997576906779834,0.20012145746772989,0,0,0,0
1.52,1.156762899548729,1.014234417262429,1.047247182744365,-0.031955721358475395,0.010110211340737113,1.104541300352038,0.01885348046036107,0.018524382195407155,0.005359168316212633,0.3486691623927216,-0.24851697869343256,-0.06260982217722111,0,0,0,0
1.56,1.158899662987038,1.0154537671579327,1.0476763075467483,-0.036661703610014126,0.013175146175656752,1.1102943834476307,0.05074904698370826,0.021728498962442836,0.013861646253393622,-0.11268100043741285,-0.021349187183054404,0.11873176150593281,0,0,0,0
1.60,1.1604205512476942,1.0162048267703203,1.0479194544269057,-0.031985760104357205,0.009935704417160782,1.1092720366845783,0.07967819763230366,0.03015304776534542,0.00895735384139111,-0.33884417408299916,0.2877677672279459,0.3769755305654139,0,0,0,0
1.64,1.1624829347920342,1.0175564711706608,1.0483285656050723,-0.035882521359560646,0.012905507793583473,1.1138650516006545,0.025641565969689972,0.023563760063075888,0.006691365739353766,0.23727298212196643,-0.16502482435825305,-0.16993583219722178,0,0,0,0
1.68,1.1628827186930097,1.018527334915334,1.0486302240560679,-0.02062061554790277,0.0009018253466024084,1.10381052373465,0.054141837894296545,0.023597444613083364,0.00595675448661769,-0.11069107719140946,0.07490727806469617,0.1318434870508867,0,0,0,0
1.72,1.1658099244083646,1.019806848466956,1.048979732828961,-0.03108033445008899,0.009797142850305779,1.1138601237995804,0.01708887543423832,0.03140938563575375,0.0071021583253690615,0.32960054643551834,-0.20724717322121716,-0.1634877210870941,0,0,0,0
1.76,1.1676699857018635,1.0214925137251436,1.0495575652892604,-0.034353168851289514,0.013960266928749313,1.1165980394495514,0.07104016722724285,0.03264418721452611,0.014229388985605978,-0.3349539112633389,0.2260453600964825,0.22597987029154734,0,0,0,0
1.80,1.1691373900881101,1.022588563021679,1.0499454764249623,-0.030755823715709767,0.01083468554170286,1.113167594479976,0.05137462349317786,0.04207082106427234,0.017024561509298163,-0.09221665989247826,0.05757846254397382,0.09610158902860351,0,0,0,0
1.84,1.1697501432814008,1.024077839418112,1.050528782511166,-0.020295122631027323,0.002755498382536109,1.1052515678093082,0.03239815629558012,0.027936708716302296,0.008744525795916199,0.15549224969333844,-0.08080432678970421,-0.09440659766245038,0,0,0,0
1.88,1.1727425252622676,1.0259155499870523,1.0511109985946534,-0.03356304854505625,0.014722910240652594,1.1167456299981695,0.016900514060351483,0.03734490567144396,0.012954221162170125,0.22385310940503572,-0.18263312013618702,-0.19534507798291234,0,0,0,0
1.92,1.1741731485256832,1.0272220803990042,1.051548478825981,-0.029342678395247995,0.011990149755246926,1.1129950963641941,0.0751734550009225,0.04710620349853205,0.01461443983758706,-0.33775874509976667,0.32321447598529607,0.28209722437800644,0,0,0,0
1.96,1.1753302212293997,1.0289203863326353,1.052090165834861,-0.023798397388859176,0.00804916886585555,1.1085323470015844,0.03610581079244194,0.03261760177035737,0.008791460618688136,0.11098685877012188,-0.05677467972773799,-0.08428190641214402,0,0,0,0
