Model,a,b
Roll,0.8870195199268808,-0.0003384698677686145
Pitch,0.8920733582015832,-0.00032918739176290775
Yaw,0.8206695627464822,0.0013054951097462126
Z,0.8977870363719257,0.0015245956971989523
