epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,127.847,0.70394,1.00131,0.18255,0.40655,0.85481,0.99954,1,0.995,0.85154,0.97945,0.9799,0.96511,0.75542,0.64768,0.87838,0.03692,0.38074,0.84131,0.0009308,0.0009308,0.0009308
29,132.349,0.7023,0.98874,0.18996,0.40047,0.85933,1,0.99857,0.995,0.86663,0.9869,0.98492,0.98958,0.81589,0.64442,0.87313,0.03851,0.36841,0.83037,0.0008912,0.0008912,0.0008912
30,136.884,0.6934,0.99887,0.17758,0.39741,0.85689,0.99967,1,0.995,0.83345,0.98962,0.98995,0.98144,0.74502,0.69581,0.87725,0.03694,0.38773,0.84328,0.0008516,0.0008516,0.0008516
31,141.412,0.69949,1.03165,0.20503,0.40211,0.85089,0.99968,1,0.995,0.85339,0.98964,0.98995,0.98675,0.79406,0.63832,0.80164,0.03841,0.37682,0.83458,0.000812,0.000812,0.000812
32,145.945,0.68639,0.90042,0.1885,0.38472,0.84924,0.99956,1,0.995,0.85144,0.97947,0.9799,0.97651,0.78871,0.6805,0.80984,0.03753,0.36555,0.84062,0.0007724,0.0007724,0.0007724
33,150.489,0.67796,0.94862,0.20459,0.39227,0.85857,0.99966,1,0.995,0.85755,0.98961,0.98995,0.98368,0.78384,0.6409,0.7877,0.03904,0.36359,0.83488,0.0007328,0.0007328,0.0007328
34,155.096,0.66845,0.92086,0.19018,0.38735,0.84364,0.99966,1,0.995,0.85956,0.97454,0.97487,0.9598,0.75298,0.64334,0.87933,0.03877,0.37347,0.82727,0.0006932,0.0006932,0.0006932
35,159.636,0.67667,0.92507,0.18514,0.38508,0.85346,0.99967,1,0.995,0.85769,0.98962,0.98995,0.98328,0.79397,0.62808,0.78722,0.03825,0.34607,0.82756,0.0006536,0.0006536,0.0006536
36,164.176,0.65413,0.80504,0.16655,0.36698,0.84219,0.99967,1,0.995,0.8611,0.98945,0.98492,0.98423,0.79987,0.60255,0.78953,0.03812,0.33573,0.82696,0.000614,0.000614,0.000614
37,168.72,0.65691,0.79005,0.18563,0.37491,0.85108,0.99967,1,0.995,0.85519,0.97459,0.97487,0.96303,0.79621,0.62003,0.78673,0.03851,0.33185,0.83404,0.0005744,0.0005744,0.0005744
38,173.271,0.66001,0.83796,0.18826,0.36165,0.84842,0.99967,1,0.995,0.8661,0.98962,0.98995,0.98716,0.80631,0.59149,0.70773,0.03656,0.32509,0.82353,0.0005348,0.0005348,0.0005348
