elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
0.00,1.289851890665096,0.9156490347213714,1.0812649254155442,0.22386211182563073,0.006710097808827892,-0.006776470675620855,0.06277731335363679,0.0399020130759547,0.0007441978143796526,0.001688912202659987,-0.02547846678999796,0.0017427459271249948,0,0,20,0
0.04,1.2923894454219993,0.9171613867050908,1.0812538213787628,0.22388180574205005,0.006916302628346818,-0.008370234635889411,0.06325606701117102,0.037699851861868895,-0.00027680100018634163,0.0004909291881657545,0.005140265779893325,-0.03972928647016318,0,0,20,0
0.08,1.2948036137657608,0.9187206336007948,1.0813051509220235,0.22510766669743057,0.006352671753974901,-0.008207820731467568,0.05976506522559873,0.0386006604159854,0.0012707123382275439,0.03034736999395805,-0.013953225779405944,0.004020712812509026,0,0,20,0
0.12,1.2971590527783385,0.9203146839214936,1.082452434414798,0.2251087114655846,0.006370135397620255,-0.008091972562266386,0.05941369043077921,0.04020839078377888,0.02893912595998645,2.635327484316535e-05,0.00044050366483615354,0.0029221589797644777,0,0,20,0
0.16,1.2994500460722793,0.9218514683418976,1.0866394375054271,0.22643498129659204,0.005914922285340796,-0.00479722068361958,0.05714885237923296,0.03833510391001628,0.10444483716761838,0.03308381521139195,-0.011355295986048614,0.08218762107989563,0,0,20,0
0.20,1.3015734772034213,0.9232356292199443,1.0933296566854132,0.22715126488795062,0.005471557388516096,-0.00419426265909299,0.05247065015743815,0.03420305002053061,0.165317417137441,0.01769959250596315,-0.010955685848340242,0.014899282157335518,0,0,20,0
0.24,1.303746090303474,0.9245943923445807,1.101163688171905,0.22815558157337618,0.005624367440554723,-0.004172969940600607,0.05517270496778261,0.03450528628168906,0.19894232797456068,0.025504250240348414,0.0038805546726353637,0.0005407206995639215,0,0,20,0
0.28,1.3058674759929474,0.9258587363161624,1.109577359076749,0.2283697573421529,0.005113703956524662,-0.005973300583600944,0.05311605816136207,0.03165712310766816,0.2106646779743387,0.0053626139968556315,-0.012786185677230213,-0.045077360339425616,0,0,20,0
0.32,1.3080139924032808,0.9270821259642075,1.118301993219525,0.22857571376837427,0.005677659266015669,-0.007990614104449716,0.053534686490937226,0.030511661103106564,0.21759468100646973,0.005136607693971724,0.014065194443964996,-0.05031233228531218,0,0,20,0
0.36,1.3101102098894923,0.9283720525735522,1.127210788827059,0.22874537619443552,0.005417171707624235,-0.008299889442443125,0.05209250733076896,0.032055601002967414,0.2213899576481944,0.004216232920241932,-0.006473302572054895,-0.007685713871590867,0,0,20,0
0.40,1.3121809140376355,0.9296265554144736,1.1361260491597664,0.2291771315241343,0.0063347754618545,-0.009653149136327237,0.05208399663798179,0.031554252599282386,0.22424371420313857,0.010859853234285963,0.023080298985823436,-0.03403826346210807,0,0,20,0
0.44,1.314219738059224,0.9309456971685077,1.1451206555481026,0.22939648482402863,0.006031945694637428,-0.00935939167672543,0.05027394809458571,0.032527801992465445,0.22179176324699376,0.005408880951222052,-0.00746726928727511,0.007243561543341129,0,0,20,0
0.48,1.3161768122941397,0.932272205475666,1.1542203858901832,0.23001497302613788,0.007037809917380608,-0.010209064929811256,0.049814085662467825,0.033764073567502294,0.23161857566699348,0.015742593577408124,0.02560260906950075,-0.02162702643527824,0,0,20,0
0.52,1.318137917483087,0.9335788447706667,1.1634484345357652,0.230426523359443,0.007526221868442498,-0.010261941926654122,0.04869563178397569,0.032444779781538376,0.22913898829216447,0.010219086464177357,0.012127614909106833,-0.0013129733084255972,0,0,20,0
0.56,1.3200069866309776,0.9349368773722871,1.1727658169038642,0.230872563670594,0.007124258017895249,-0.008995964763840274,0.04693940676882095,0.034105343167599965,0.23399476765769542,0.011201761916640088,-0.010094835019074848,0.03179348237191801,0,0,20,0
0.60,1.3217560038541856,0.936331549937743,1.1821849008353578,0.2304754439576685,0.006539995273515314,-0.007633371644488113,0.04369447996241661,0.03484213400350168,0.2353104181296158,-0.009920965390653859,-0.014596229492967091,0.03404071552895181,0,0,20,0
0.64,1.323499744896305,0.9376620063408656,1.1917148702760296,0.23100100044873795,0.007030151252378852,-0.008542242200711574,0.04369018122906057,0.033335156979006166,0.23877748009204092,0.013168043755524396,0.012281068707900505,-0.022772142397299234,0,0,20,0
0.68,1.3251809616963646,0.9390280928687158,1.2013313820516829,0.2312593623925244,0.006206718095026056,-0.007848416843030209,0.041196809836924045,0.03347480640607238,0.23564456820923171,0.006330943080566254,-0.020177539979186764,0.017001609381623695,0,0,20,0
0.72,1.3267839958544017,0.9403876619263121,1.210976238412199,0.23161271818570853,0.006877389769780182,-0.00800437501441546,0.040759789406885336,0.0345692873691462,0.24523639258920732,0.008984654284300548,0.017052934328994383,-0.003965493929168471,0,0,20,0
