elapsed_time,x,y,z,yaw,pitch,roll,x_speed,y_speed,z_speed,yaw_speed,pitch_speed, roll_speed,control_x,control_y,control_z,control_yaw
0.00,0.9920311015749296,0.36331865669845215,1.0400860187120649,0.008080508951905414,-0.00393518868823825,-0.0019296235808210884,0.05735809005197141,-0.013865801419884988,-0.011608875337013063,0.03171107811249293,-0.0778673375004508,0.02898031192058996,0,0,0,100
0.04,0.9943310835033774,0.36307739143861384,1.039731968779554,0.010393414747394358,-0.0008088285743415163,-0.003463096720179232,0.05743524292936667,-0.006024885951422094,-0.008841349417299376,0.05775797826650667,0.07807159282661066,-0.038293954050383536,0,0,0,100
0.08,0.9965635361813938,0.3625972990967771,1.0394156576543105,0.010062499249265111,-0.004044166735830412,-0.003396459413506564,0.05549284497712371,-0.011933820663970683,-0.007862654563982151,-0.008225680489913144,-0.08042191478996961,0.0016564264789545565,0,0,0,100
0.12,0.9986815946533055,0.36269944808066734,1.0393589355098038,0.008897563584238193,-0.004226114855551397,-0.004275745069969789,0.0533080175275918,0.002570920442404243,-0.0014276022657845923,-0.029319497867177087,-0.004579332291258347,-0.02213016109238721,0,0,0,100
0.16,1.0009785728041678,0.3625197338829091,1.0392055680477144,0.012008097982838232,-0.003611710735059559,-0.006199285684304984,0.05742930081471066,-0.004493234173715865,-0.003834510185575707,0.07776992376033176,0.015361399517134186,-0.04809257438017005,0,0,0,100
0.20,1.0034149739797378,0.3622098969855413,1.0391504778397682,0.020458140744810466,-0.00359439523644578,-0.007226028895282605,0.06069555546757265,-0.00771864780671368,-0.0013724056635840436,0.21050722036475036,0.00043136319958286004,-0.025578197112085525,0,0,0,100
0.24,1.0058777650208095,0.3619387862545846,1.039214811693044,0.0345730032674604,-0.005125416022070464,-0.00916161168498401,0.06182262017602483,-0.006805602045022461,0.0016149512115312703,0.3543206752103749,-0.03843270295074845,-0.04858828769122347,0,0,0,100
0.28,1.008454892896899,0.36140212973279534,1.039063065993112,0.053402539364606004,-0.008129208742050933,-0.008039549441190268,0.0644086791392949,-0.013412348700516177,-0.0037924932590154233,0.4705957977774334,-0.07507206890941624,0.028043058206521563,0,0,0,100
0.32,1.0110857694468427,0.3611154969803803,1.0389332304469219,0.07849173504745208,-0.0070823124097506435,-0.010789543821130548,0.0652168796509152,-0.007105348108660531,-0.0032184973447231344,0.6219368428448228,0.02595154535551085,-0.0681696951995333,0,0,0,100
0.36,1.0137159264230062,0.3609409372840426,1.0388269269296573,0.10726933590105539,-0.006932234322397507,-0.012044915760233626,0.06611377226131412,-0.0043878749877928015,-0.0026721319657732395,0.7233772608649925,0.0037724852845672694,-0.03155605358816604,0,0,0,100
0.40,1.016933150384266,0.3604242272141555,1.0382619077681037,0.14497069791252648,-0.0018130274014627606,-0.01326999148099776,0.08044745839980304,-0.012920459486980364,-0.014128439935022842,0.9427316184870437,0.128006999441413,-0.030633312840362557,0,0,0,100
0.44,1.016933150384266,0.3604242272141555,1.0382619077681037,0.14497069791252648,-0.0018130274014627606,-0.01326999148099776,0.08044745839980304,-0.012920459486980364,-0.014128439935022842,0.9427316184870437,0.128006999441413,-0.030633312840362557,0,0,0,100
